,,E2,E3,E4,E7,E8,E20,E21,E25,E27,E28,Commonwealth Drive,College Way E,College Way W,Wildcat Court,PS1,PS2,PS5,PS6,Scott Street Area,Memorial Coliseum,Sport Center Drive,Columbia Ave,KF Periphery,KF Orange,Large Gluck,KF Red,KF Blue,PS8,PS3,UKH GS Hospital Garage,UKH GS Medical Office Building,Professional Arts Venter Visitor,Greg Page,Green,North Red,Ag North,Soccer and Softball,Sports Center Garage,Complex Drive,Shively,Alpha Phi,Rose Lane,Pennsylvania Court,SAE,Columbia Terrace,Alice Lloyd Collehe,College View,German House,Shawnee Apartments,LexTheo Apartments,Greg Page Apartments,South Broadway,South Mill Street,Greg Page Laundry,,,,,
Reserved,,"1700,2359",ALL,ALL,"1700,2359",ALL,ALL,ALL,ALL,"1700,2359","1700,2359","1530, 2359","1530, 2359","1530, 2359","1530, 2359","1700,2359","1700, 2359","1700,2359","1700,2359","1700,2359","1700,2359","1700,2359","1700,2359","1700,2359","1530, 2359","1530,2359","1530, 2359","1530, 2359",ALL,ALL,ALL,ALL,NONE,NONE,NONE,NONE,NONE,NONE,"1930, 2359","1700, 2359","1530, 2359",NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,"1530, 2359",NONE,NONE,,,,,
Core,,ALL,NONE,NONE,ALL,NONE,NONE,NONE,NONE,ALL,ALL,"1530, 2359","1530, 2359","1530, 2359","1530, 2359","1700,2359","0500, 2359","1700,2359","1700,2359","1700,2359","1700,2359","1700,2359","1700,2359","1700,2359","1530, 2359","1530,2359","1530, 2359","1530, 2359",NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,"1930, 2359","0500, 2359","1530, 2359",NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,"1530, 2359",NONE,NONE,,,,,
Intermediate,,"1700,2359",NONE,NONE,"1700,2359",NONE,NONE,NONE,NONE,"1700,2359","1700,2359","1530, 2359","1530, 2359","1530, 2359","1530, 2359",ALL,"1700, 2359",ALL,ALL,ALL,ALL,ALL,ALL,ALL,"1530, 2359","1530,2359","1530, 2359","1530, 2359",NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,"1930, 2359","1700, 2359","1530, 2359",NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,"1530, 2359",NONE,NONE,,,,,
Employee Periphery,,"1700,2359",NONE,NONE,"1700,2359",NONE,NONE,NONE,NONE,"1700,2359","1700,2359","0500, 2359","0500, 2359","0500, 2359","1530, 2359","1700,2359","1700, 2359","1700,2359","1700,2359","1700,2359","1700,2359","1700,2359","1700,2359","1700,2359","0500, 2359","0500,2359","0500, 2359","0500, 2359",NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,"1930, 2359","1700, 2359","1530, 2359",NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,"1530, 2359",NONE,NONE,,,,,
OHC,,"1700,2359",NONE,NONE,"1700,2359",NONE,NONE,NONE,NONE,"1700,2359","1700,2359","1530, 2359","1530, 2359","1530, 2359","1530, 2359","1700,2359","1700, 2359","1700,2359","1700,2359","1700,2359","1700,2359","1700,2359","1700,2359","1700,2359","1530, 2359","1530,2359","1530, 2359","1530, 2359",NONE,"1630, 2359","1630, 2359","1630, 2359","1630, 2359",NONE,NONE,NONE,NONE,NONE,"1930, 2359","1700, 2359","1530, 2359",NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,"1530, 2359",NONE,NONE,,,,,
EX,,"1700,2359",NONE,NONE,"1700,2359",NONE,NONE,NONE,NONE,"1700,2359","1700,2359","1530, 2359","1530, 2359","1530, 2359","1530, 2359","1700,2359","1700, 2359","1700,2359","1700,2359","1700,2359","1700,2359","1700,2359","1700,2359","1700,2359","1530, 2359","1530,2359","1530, 2359","1530, 2359",NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,"1930, 2359","1700, 2359","1530, 2359",NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,"1530, 2359",NONE,ALL,,,,,
Employee Commuter,,"1700,2359",ALL,NONE,ALL,ALL,NONE,NONE,NONE,"1700,2359","1700,2359","1530, 2359","1530, 2359","1530, 2359","1530, 2359","1700,2359","1700, 2359",ALL,"1700,2359","1700,2359","1700,2359","1700,2359","1700,2359","1700,2359","1530, 2359","1530,2359","1530, 2359","1530, 2359",ALL,ALL,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,"1930, 2359","1700, 2359","1530, 2359",NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,"1530, 2359",NONE,NONE,,,,,
Employee Limited,,"1700,2359",NONE,NONE,"1700,2359",NONE,NONE,NONE,NONE,"1700,2359","1700,2359","1530, 2359","1530, 2359","1530, 2359","1530, 2359",ALL,"1700, 2359","1700,2359","1700,2359","1700,2359","1700,2359","1700,2359","1700,2359","1700,2359","1530, 2359","1530,2359","1530, 2359","1530, 2359",NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,"1930, 2359","1700, 2359","1530, 2359",NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,"1530, 2359",NONE,NONE,,,,,
E10,,"1700,2359",NONE,NONE,"1700,2359",NONE,NONE,NONE,NONE,"1700,2359","1700,2359","1530, 2359","1530, 2359","1530, 2359","1530, 2359","1700,2359","1700, 2359","1700,2359","1700,2359","1700,2359","1700,2359","1700,2359","1700,2359","1700,2359","1530, 2359","1530,2359","1530, 2359","1530, 2359",NONE,NONE,NONE,NONE,NONE,NONE,ALL,ALL,NONE,NONE,"1930, 2359","1700, 2359","1530, 2359",NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,"1530, 2359",NONE,NONE,,,,,
E-VA,,"1700,2359",NONE,NONE,"1700,2359",NONE,NONE,NONE,NONE,"1700,2359","1700,2359","1530, 2359","1530, 2359","1530, 2359","1530, 2359",ALL,"1700, 2359","1700,2359",ALL,"1700,2359","1700,2359",ALL,"1700,2359",ALL,"1530, 2359","0500,2359","1530, 2359","1530, 2359",NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,"0500, 1530",NONE,"1930, 2359","1700, 2359","1530, 2359",NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,"1530, 2359",NONE,NONE,,,,,
EK,,"1700,2359",NONE,NONE,"1700,2359",NONE,NONE,NONE,NONE,"1700,2359","1700,2359","0500, 2359","1530, 2359","1530, 2359","1530, 2359","1700,2359","1700, 2359","1700,2359","1700,2359","1700,2359","1700,2359","1700,2359","1700,2359","1700,2359","0500, 2359","0500,2359","0500, 2359","0500, 2359",NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,"0500, 1530","1930, 2359","1700, 2359","1530, 2359",NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,"1530, 2359",NONE,NONE,,,,,
R5,,"1700,2359",NONE,NONE,"1700,2359",NONE,NONE,NONE,NONE,"1700,2359","1700,2359","1530, 2359","1530, 2359","1530, 2359","1530, 2359","1700,2359","1700, 2359","1700,2359","1700,2359","1700,2359","1700,2359","1700,2359","1700,2359","1700,2359","1530, 2359","1530,2359","1530, 2359","1530, 2359",NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,"1930, 2359","1700, 2359","1530, 2359",NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,"1530, 2359",NONE,NONE,,,,,
R2,,"1700,2359",NONE,NONE,"1700,2359",NONE,NONE,NONE,NONE,"1700,2359","1700,2359","1530, 2359","1530, 2359","1530, 2359","1530, 2359","1700,2359","1700, 2359","1700,2359","1700,2359","1700,2359","1700,2359","1700,2359","1700,2359","1700,2359","1530, 2359","1530,2359","1530, 2359","1530, 2359",NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,"1930, 2359","1700, 2359","1530, 2359",NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,"1530, 2359",NONE,NONE,,,,,
R7,,"1700,2359",NONE,NONE,"1700,2359",NONE,NONE,NONE,NONE,"1700,2359","1700,2359","1530, 2359","1530, 2359","1530, 2359","1530, 2359","1700,2359","1700, 2359","1700,2359","1700,2359","1700,2359","1700,2359","1700,2359","1700,2359","1700,2359","1530, 2359","1530,2359","1530, 2359","1530, 2359",NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,ALL,ALL,"1530, 2359",NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,"1530, 2359",NONE,NONE,,,,,
R10 ,,"1700,2359",NONE,NONE,"1700,2359",NONE,NONE,NONE,NONE,"1700,2359","1700,2359","1530, 2359","1530, 2359","1530, 2359","1530, 2359","1700,2359","1700, 2359","1700,2359","1700,2359","1700,2359","1700,2359","1700,2359","1700,2359","1700,2359","1530, 2359","1530,2359","1530, 2359","1530, 2359",NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,"1930, 2359","1700, 2359","1530, 2359",NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,"1530, 2359",NONE,NONE,,,,,
R16,,"1700,2359",NONE,NONE,"1700,2359",NONE,NONE,NONE,NONE,"1700,2359","1700,2359","1530, 2359","1530, 2359","1530, 2359","1530, 2359","1700,2359","1700, 2359","1700,2359","1700,2359","1700,2359","1700,2359","1700,2359","1700,2359","1700,2359","1530, 2359","1530,2359","1530, 2359","1530, 2359",NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,"1930, 2359","1700, 2359","0500, 2359",NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,"1530, 2359",NONE,NONE,,,,,
R11 ,,"1700,2359",NONE,NONE,"1700,2359",NONE,NONE,NONE,NONE,"1700,2359","1700,2359","1530, 2359","1530, 2359","1530, 2359","1530, 2359","1700,2359","1700, 2359","1700,2359","1700,2359","1700,2359","1700,2359","1700,2359","1700,2359","1700,2359","1530, 2359","1530,2359","1530, 2359","1530, 2359",NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,"1930, 2359","1700, 2359","1530, 2359",NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,"1530, 2359",NONE,NONE,,,,,
R12 ,,"1700,2359",NONE,NONE,"1700,2359",NONE,NONE,NONE,NONE,"1700,2359","1700,2359","1530, 2359","1530, 2359","1530, 2359","1530, 2359","1700,2359","1700, 2359","1700,2359","1700,2359","1700,2359","1700,2359","1700,2359","1700,2359","1700,2359","1530, 2359","1530,2359","1530, 2359","1530, 2359",NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,"1930, 2359","1700, 2359","1530, 2359",ALL,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,"1530, 2359",NONE,NONE,,,,,
R13 ,,"1700,2359",NONE,NONE,"1700,2359",NONE,NONE,NONE,NONE,"1700,2359","1700,2359","1530, 2359","1530, 2359","1530, 2359","1530, 2359","1700,2359","1700, 2359","1700,2359","1700,2359","1700,2359","1700,2359","1700,2359","1700,2359","1700,2359","1530, 2359","1530,2359","1530, 2359","1530, 2359",NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,"1930, 2359","1700, 2359","1530, 2359",NONE,ALL,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,"1530, 2359",NONE,NONE,,,,,
R14 ,,"1700,2359",NONE,NONE,"1700,2359",NONE,NONE,NONE,NONE,"1700,2359","1700,2359","1530, 2359","1530, 2359","1530, 2359","1530, 2359","1700,2359","1700, 2359","1700,2359","1700,2359","1700,2359","1700,2359","1700,2359","1700,2359","1700,2359","1530, 2359","1530,2359","1530, 2359","1530, 2359",NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,"1930, 2359","1700, 2359","1530, 2359",NONE,NONE,ALL,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,"1530, 2359",NONE,NONE,,,,,
