,,E2,E3,E4,E7,E8,E20,E21,E25,E27,E28,Commonwealth Drive,College Way E,College Way W,Wildcat Court,PS1,PS2,PS5,PS6,Scott Street Area,Memorial Coliseum,Sport Center Drive,Columbia Ave,KF Periphery,KF Orange,Large Gluck,KF Red,KF Blue,PS8,PS3,UKH GS Hospital Garage,UKH GS Medical Office Building,Professional Arts Venter Visitor,Greg Page,Green,North Red,Ag North,KF Orange,Soccer and Softball,Sports Center Garage,Complex Drive,Shively,Alpha Phi,Rose Lane,Pennsylvania Court,SAE,Columbia Terrace,Alice Lloyd Collehe,College View,German House,Shawnee Apartments,LexTheo Apartments,South Broadway,South Mill Street
Reserved,,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,NONE,NONE,ALL,ALL,NONE,ALL,NONE,ALL,ALL,ALL,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,ALL,NONE
Core,,ALL,NONE,NONE,ALL,NONE,NONE,NONE,NONE,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,NONE,NONE,NONE,NONE,NONE,NONE,ALL,ALL,NONE,ALL,NONE,ALL,ALL,ALL,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,ALL,NONE
Intermediate,,ALL,NONE,NONE,ALL,NONE,NONE,NONE,NONE,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,NONE,NONE,NONE,NONE,NONE,NONE,ALL,ALL,NONE,ALL,NONE,ALL,ALL,ALL,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,ALL,NONE
Employee Periphery,,ALL,NONE,NONE,ALL,NONE,NONE,NONE,NONE,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,NONE,NONE,NONE,NONE,NONE,NONE,ALL,ALL,NONE,ALL,NONE,ALL,ALL,ALL,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,ALL,NONE
OHC,,ALL,NONE,NONE,ALL,NONE,NONE,NONE,NONE,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,NONE,NONE,NONE,NONE,NONE,NONE,ALL,ALL,NONE,ALL,NONE,ALL,ALL,ALL,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,ALL,NONE
EX,,ALL,NONE,NONE,ALL,NONE,NONE,NONE,NONE,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,NONE,NONE,NONE,NONE,NONE,NONE,ALL,ALL,NONE,ALL,NONE,ALL,ALL,ALL,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,ALL,NONE
Employee Commuter,,ALL,NONE,NONE,ALL,ALL,NONE,NONE,NONE,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,NONE,NONE,NONE,NONE,ALL,ALL,NONE,ALL,NONE,ALL,ALL,ALL,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,ALL,NONE
Employee Limited,,ALL,NONE,NONE,ALL,NONE,NONE,NONE,NONE,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,NONE,NONE,NONE,NONE,NONE,NONE,ALL,ALL,NONE,ALL,NONE,ALL,ALL,ALL,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,ALL,NONE
Retired,,ALL,NONE,NONE,ALL,NONE,NONE,NONE,NONE,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,NONE,NONE,NONE,NONE,NONE,NONE,ALL,ALL,NONE,ALL,NONE,ALL,ALL,ALL,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,ALL,NONE
E10,,ALL,NONE,NONE,ALL,NONE,NONE,NONE,NONE,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,NONE,NONE,NONE,NONE,NONE,NONE,ALL,ALL,NONE,ALL,NONE,ALL,ALL,ALL,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,ALL,NONE
E-VA,,ALL,NONE,NONE,ALL,NONE,NONE,NONE,NONE,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,NONE,NONE,NONE,NONE,NONE,NONE,ALL,ALL,NONE,ALL,NONE,ALL,ALL,ALL,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,ALL,NONE
EK,,ALL,NONE,NONE,ALL,NONE,NONE,NONE,NONE,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,NONE,NONE,NONE,NONE,NONE,NONE,ALL,ALL,NONE,ALL,NONE,ALL,ALL,ALL,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,ALL,NONE
R5,,ALL,NONE,NONE,ALL,NONE,NONE,NONE,NONE,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,NONE,NONE,NONE,NONE,NONE,NONE,ALL,ALL,NONE,ALL,NONE,ALL,ALL,ALL,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,ALL,NONE
R2,,ALL,NONE,NONE,ALL,NONE,NONE,NONE,NONE,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,NONE,NONE,NONE,NONE,NONE,NONE,ALL,ALL,NONE,ALL,NONE,ALL,ALL,ALL,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,ALL,NONE
R7,,ALL,NONE,NONE,ALL,NONE,NONE,NONE,NONE,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,NONE,NONE,NONE,NONE,NONE,NONE,ALL,ALL,NONE,ALL,NONE,ALL,ALL,ALL,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,ALL,NONE
R10 ,,ALL,NONE,NONE,ALL,NONE,NONE,NONE,NONE,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,NONE,NONE,NONE,NONE,NONE,NONE,ALL,ALL,NONE,ALL,NONE,ALL,ALL,ALL,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,ALL,NONE
R16,,ALL,NONE,NONE,ALL,NONE,NONE,NONE,NONE,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,NONE,NONE,NONE,NONE,NONE,NONE,ALL,ALL,NONE,ALL,NONE,ALL,ALL,ALL,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,ALL,NONE
R11 ,,ALL,NONE,NONE,ALL,NONE,NONE,NONE,NONE,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,NONE,NONE,NONE,NONE,NONE,NONE,ALL,ALL,NONE,ALL,NONE,ALL,ALL,ALL,ALL,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,ALL,NONE
R12 ,,ALL,NONE,NONE,ALL,NONE,NONE,NONE,NONE,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,NONE,NONE,NONE,NONE,NONE,NONE,ALL,ALL,NONE,ALL,NONE,ALL,ALL,ALL,NONE,ALL,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,ALL,NONE
R13 ,,ALL,NONE,NONE,ALL,NONE,NONE,NONE,NONE,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,NONE,NONE,NONE,NONE,NONE,NONE,ALL,ALL,NONE,ALL,NONE,ALL,ALL,ALL,NONE,NONE,ALL,NONE,NONE,NONE,NONE,NONE,NONE,NONE,ALL,NONE
R14 ,,ALL,NONE,NONE,ALL,NONE,NONE,NONE,NONE,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,NONE,NONE,NONE,NONE,NONE,NONE,ALL,ALL,NONE,ALL,NONE,ALL,ALL,ALL,NONE,NONE,NONE,ALL,NONE,NONE,NONE,NONE,NONE,NONE,ALL,NONE
R15 ,,ALL,NONE,NONE,ALL,NONE,NONE,NONE,NONE,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,NONE,NONE,NONE,NONE,NONE,NONE,ALL,ALL,NONE,ALL,NONE,ALL,ALL,ALL,NONE,NONE,NONE,NONE,ALL,NONE,NONE,NONE,NONE,NONE,ALL,NONE
R22,,ALL,NONE,NONE,ALL,NONE,NONE,NONE,NONE,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,NONE,NONE,NONE,NONE,NONE,NONE,ALL,ALL,NONE,ALL,NONE,ALL,ALL,ALL,NONE,NONE,NONE,NONE,NONE,NONE,ALL,NONE,NONE,NONE,ALL,NONE
R17 ,,ALL,NONE,NONE,ALL,NONE,NONE,NONE,NONE,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,NONE,NONE,NONE,NONE,NONE,NONE,ALL,ALL,NONE,ALL,NONE,ALL,ALL,ALL,NONE,NONE,NONE,NONE,NONE,ALL,NONE,NONE,NONE,NONE,ALL,NONE
R18 ,,ALL,NONE,NONE,ALL,NONE,NONE,NONE,NONE,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,NONE,NONE,NONE,NONE,NONE,NONE,ALL,ALL,NONE,ALL,NONE,ALL,ALL,ALL,NONE,NONE,NONE,NONE,NONE,NONE,NONE,ALL,NONE,NONE,ALL,NONE
R19 ,,ALL,NONE,NONE,ALL,NONE,NONE,NONE,NONE,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,NONE,NONE,NONE,NONE,NONE,ALL,ALL,ALL,NONE,ALL,NONE,ALL,ALL,ALL,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,ALL,NONE,ALL,NONE
R29 ,,ALL,NONE,NONE,ALL,NONE,NONE,NONE,NONE,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,NONE,NONE,NONE,NONE,NONE,NONE,ALL,ALL,NONE,ALL,NONE,ALL,ALL,ALL,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,ALL,ALL,NONE
R30,,ALL,NONE,NONE,ALL,NONE,NONE,NONE,NONE,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,NONE,NONE,NONE,NONE,NONE,NONE,ALL,ALL,NONE,ALL,NONE,ALL,ALL,ALL,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,ALL,ALL,NONE
